dataset;num_classes;arch;attack_type;pruning_rates;;;batch_size;wm_batch_size;;;optim;sched;;;save_file;;method;eps;;cuda;pruning_rate;test_acc;wm_acc;attack_time;;;;
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;True;False;cuda:1;99.52924347;60.87740326;43;0.020505824;24;1030.603317
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.001;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;False;False;cuda:1;75.33052826;30.54887772;38;0.807256326;61;999.2089372
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;True;False;cuda:1;99.68950653;29.03645897;10;0.014243567;21;965.2785852
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.01;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;False;False;cuda:1;79.26683044;30.53886223;38;0.694217067;29;611.4360988
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.1;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;True;False;cuda:1;99.65945435;16.5064106;11;0.008291384;28;1124.654923
mnist;10;simplenet_mnist;transfer-learning;[0.1];0.1;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.0001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.0001;False;False;False;cuda:1;79.90785217;30.59895897;38;0.687112856;46;822.0310845
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-06;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;True;False;cuda:1;78.07492065;98.8381424;100;0.776203351;56;1758.630893
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-06;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;False;False;cuda:1;22.72636223;99.31890869;100;4.85342608;35;685.4378974
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-05;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;True;False;cuda:1;96.59455109;93.79006195;97;0.100139108;97;2704.905321
mnist;10;simplenet_mnist;transfer-learning;[0.1];1.00E-05;0.1;64;32;200;20;SGD;MultiStepLR;100;wm_frontier_simplenet_mnist_SGD_MultiStepLR_augmented_50_size100_epsilon0.001_SGD_MultiStepLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.001;False;False;False;cuda:1;25.54086494;99.05849457;100;3.039155747;53;907.3220935
