dataset;num_classes;arch;attack_type;pruning_rate;lr;batch_size;wm_batch_size;num_epochs;trg_set_size;loadmodel;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
mnist;10;simplenet_mnist;pruning;0.2;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.66947174;100;0.063091516
mnist;10;simplenet_mnist;pruning;0.3;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.67948914;100;0.077314615
mnist;10;simplenet_mnist;pruning;0.4;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.67948914;100;0.079457998
mnist;10;simplenet_mnist;pruning;0.5;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.67948914;100;0.079470158
mnist;10;simplenet_mnist;pruning;0.6;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.64943695;100;0.080948114
mnist;10;simplenet_mnist;pruning;0.7;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.52924347;100;0.07753396
mnist;10;simplenet_mnist;pruning;0.8;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;96.17388153;100;0.075695515
mnist;10;simplenet_mnist;pruning;0.9;0.1;64;32;1;12;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_12;save_results_attacks.csv;content;ProtectingIPP;cuda:0;9.745593071;16.66666603;0.083106756
mnist;10;simplenet_mnist;pruning;0.1;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.55929565;100;0.074515104
mnist;10;simplenet_mnist;pruning;0.2;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.55929565;100;0.069636583
mnist;10;simplenet_mnist;pruning;0.3;0.1;64;32;1;24;wm_protecting_content_simplenet_mnist_24_SGD_MultiStepLR_24;save_results_attacks.csv;content;ProtectingIPP;cuda:0;99.55929565;100;0.074720621
