arch;method;trg_set_size;pruning_rate;test_acc;wm_acc;;20;;100;;500;
resnet50;WMEmbeddedSystems;500;0.9;90.43469238;99.40000153;;;;;;;
simplenet_mnist;WMEmbeddedSystems;12;0.8;97.48597717;100;;;;;;;
simplenet_mnist;WMEmbeddedSystems;24;0.8;98.67788696;100;;;;;;;
simplenet_mnist;WMEmbeddedSystems;120;0.8;96.19390869;97.5;;;;;;;
simplenet_mnist;WMEmbeddedSystems;600;0.6;99.04847717;100;;;;;;;
lenet1;WMEmbeddedSystems;24;0.7;98.01683044;79.16666412;;;;;;;
lenet1;WMEmbeddedSystems;120;0.7;97.61618805;83.33333588;;;;;;;
lenet1;WMEmbeddedSystems;600;0.5;97.14543152;82.16666412;;;;;;;
lenet3;WMEmbeddedSystems;24;0.9;99.06851196;100;;;;;;;
lenet3;WMEmbeddedSystems;120;0.9;98.11698914;61.66666794;;;;;;;
lenet3;WMEmbeddedSystems;600;0.8;97.96674347;82.5;;;;;;;
lenet5;WMEmbeddedSystems;24;0.9;99.04847717;100;;;;;;;
lenet5;WMEmbeddedSystems;120;0.9;98.61779022;96.66666412;;;;;;;
lenet5;WMEmbeddedSystems;600;0.8;98.4274826;94.16666412;;;;;;;
densenet;Blackmarks;20;0.9;91.20593262;85;;;;;;;
densenet;Blackmarks;100;0.9;90.19431305;99;;;;;;;
densenet;Blackmarks;500;-;-;-;;;;;;;
resnet18;Blackmarks;20;0.8;93.66986847;100;;;;;;;
resnet18;Blackmarks;100;0.8;94.11058044;100;;;;;;;
resnet18;Blackmarks;500;0.8;94.11058044;100;;;;;;;
resnet34;Blackmarks;20;0.8;93.96033478;100;;;;;;;
resnet34;Blackmarks;100;0.9;93.58974457;100;;;;;;;
resnet34;Blackmarks;500;0.9;94.01041412;77.40000153;;;;;;;
simplenet_mnist;Blackmarks;12;0.8;98.23718262;100;;;;;;;
simplenet_mnist;Blackmarks;24;0.8;98.84815979;95.83333588;;;;;;;
simplenet_mnist;Blackmarks;120;0.8;98.58773804;100;;;;;;;
simplenet_mnist;Blackmarks;600;0.8;98.87820435;100;;;;;;;
lenet1;Blackmarks;24;0.6;95.52283478;87.5;;;;;;;
lenet1;Blackmarks;120;0.6;97.44591522;84.16666412;;;;;;;
lenet1;Blackmarks;600;0.5;96.9651413;60.5;;;;;;;
lenet3;Blackmarks;24;0.9;98.76802826;100;;;;;;;
lenet3;Blackmarks;120;0.9;98.89823914;96.66666412;;;;;;;
lenet3;Blackmarks;600;0.9;98.19711304;89.83333588;;;;;;;
lenet5;Blackmarks;24;0.9;98.68790436;91.66666412;;;;;;;
lenet5;Blackmarks;120;0.9;98.3473587;88.33333588;;;;;;;
lenet5;Blackmarks;600;0.9;98.7379837;77.16666412;;;;;;;
