dataset;num_classes;arch;attack_type;pruning_rate;;batch_size;wm_batch_size;;trg_set_size;;save_file;wm_type;method;;cuda;test_acc;wm_acc;attack_time
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.46273804;100;0.281746864
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;95.17227936;100;0.275874615
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;100;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;81.92107391;81;0.275634289
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.96033478;100;0.079080105
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;;cuda:0;93.96033478;100;0.079971552
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.96033478;100;0.084541559
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.96033478;100;0.079075336
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.96033478;100;0.090250492
cifar10;10;densenet;pruning;0.6;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.87019348;100;0.080164433
cifar10;10;densenet;pruning;0.7;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.77003479;100;0.097441673
cifar10;10;densenet;pruning;0.8;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;92.88861847;17.60000038;0.120576382
cifar10;10;densenet;pruning;0.9;0.1;64;32;1;500;wm_protecting_unrelated_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;64.77363586;10.80000019;0.092486143
cifar10;10;resnet18;pruning;0.1;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.0120163;100;0.139908075
cifar10;10;resnet18;pruning;0.2;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.03205109;100;0.15196538
cifar10;10;resnet18;pruning;0.3;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.06209564;100;0.1564641
cifar10;10;resnet18;pruning;0.4;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.10216522;100;0.148360491
cifar10;10;resnet18;pruning;0.5;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.08213043;100;0.150007725
cifar10;10;resnet18;pruning;0.6;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;93.81009674;100;0.151474237
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;83.65384674;99.40000153;0.154655933
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;44.57131577;66.19999695;0.153610706
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;500;wm_protecting_unrelated_resnet18_192_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;15.1842947;14.80000019;0.162927151
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.21234131;100;0.259664536
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.21234131;100;0.241332054
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.21234131;100;0.268882036
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.25240326;100;0.246129513
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;500;wm_protecting_unrelated_resnet34_195_SGD_CosineAnnealingLR_500;save_results_attacks.csv;unrelated;ProtectingIPP;False;cuda:0;95.14222717;100;0.264519453
