dataset;num_classes;arch;attack_type;pruning_rates;;;batch_size;wm_batch_size;;;optim;sched;;;save_file;;method;eps;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.5_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;;;;False;cuda:1;0.4;92.73838043;100;0.06573534
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.5_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;;;;False;cuda:1;0.5;92.73838043;100;0.070641756
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.5_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;;;;False;cuda:1;0.6;92.73838043;100;0.070761681
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.5_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;;;;False;cuda:1;0.7;92.73838043;100;0.071834087
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.5_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;;;;False;cuda:1;0.8;92.73838043;100;0.069075823
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon0.5_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;0.5;;;;False;cuda:1;0.9;91.93709564;100;0.071847677
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;1;;;;False;cuda:1;0.1;91.08573914;100;0.127783775
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;1;;;;False;cuda:1;0.2;91.08573914;100;0.068576097
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;1;;;;False;cuda:1;0.3;91.08573914;100;0.068953991
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;1;;;;False;cuda:1;0.4;91.08573914;100;0.069387913
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;1;;;;False;cuda:1;0.5;91.08573914;100;0.068882942
cifar10;10;densenet;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;;64;32;1;20;;;100;wm_frontier_densenet_SGD_CosineAnnealingLR_augmented_200_size100_epsilon1_SGD_CosineAnnealingLR_100;save_results_attacks_frontier.csv;;FrontierStitching;1;;;;False;cuda:1;0.6;91.08573914;100;0.083471298
