dataset;num_classes;arch;attack_type;pruning_rates;lr;batch_size;wm_batch_size;num_epochs;patience;trg_set_size;loadmodel;save_file;wm_type;method;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;94.77163696;100;0.116683483
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;94.76161957;100;0.115449905
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;94.76161957;100;0.12193346
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;94.66146088;100;0.114125729
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;94.35095978;100;0.125002861
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;92.70833588;100;0.127729177
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;65.2443924;40;0.126366377
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;94.921875;100;0.12940526
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;94.921875;100;0.106664419
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;94.921875;100;0.104113579
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;94.921875;100;0.099502087
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;94.9118576;100;0.11859417
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;94.88181305;100;0.108462811
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;94.74158478;100;0.120809317
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;94.53125;100;0.131280184
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;100;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_100;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;74.94992065;73;0.137911081
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;94.50120544;100;0.124825478
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;94.50120544;100;0.141702652
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;94.50120544;100;0.113694668
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;94.50120544;100;0.113894224
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.5;94.51121521;100;0.116791248
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.6;94.49118805;100;0.124498129
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.7;94.49118805;100;0.127960682
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.8;87.72035217;100;0.125094414
cifar10;10;resnet18;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;500;wm_exponential_resnet18_200_SGD_CosineAnnealingLR_500;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.9;30.03806114;63.59999847;0.119721413
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.1;95.29246521;100;0.219261169
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.2;95.29246521;100;0.192728996
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.3;95.29246521;100;0.207151413
cifar10;10;resnet34;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;64;32;1;20;20;wm_exponential_resnet34_200_SGD_CosineAnnealingLR_20;save_results_attacks_exponential.csv;;ExponentialWeighting;;False;cuda:0;0.4;95.29246521;100;0.20942235
