dataset;num_classes;arch;attack_type;pruning_rates;lr;batch_size;wm_batch_size;num_epochs;patience;;;;trg_set_size;loadmodel;save_file;wm_type;method;;;;;;cuda;pruning_rate;test_acc;wm_acc;attack_time
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.8;99.45913696;100;0.0612607
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;120;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_120;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.9;26.7628212;65;0.066678286
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.1;99.54927826;100;0.064457417
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.2;99.54927826;100;0.052904129
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.3;99.54927826;100;0.053656816
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.4;99.54927826;100;0.058768511
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.5;99.53926086;100;0.059241056
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.6;99.5192337;100;0.056703568
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.7;99.46915436;100;0.0608325
mnist;10;simplenet_mnist;pruning;[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9];0.1;0.1;64;32;1;20;SGD;MultiStepLR;600;wm_exponential_exponentialnew_simplenet_mnist_50_SGD_MultiStepLR_600;save_results_pruning_exponential_new_mnist.csv;;ExponentialWeighting;;128;False;False;False;cuda:2;0.8;98.89823914;100;0.062564135
